# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Mar 20 07:19:08 2024
#
# COLUMN StellarName:    Stellar Name
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_lum:         Luminosity [solar]
# COLUMN st_lum_utl:     Utilized Luminosity [solar]
# COLUMN st_dist:        Distance [pc]
# COLUMN hz_inner_au:    Inner HZ Radius [au]
# COLUMN hz_outer_au:    Outer HZ Radius [au]
# COLUMN hz_center_au:   Center HZ Radius [au]
# COLUMN hz_inner_mas:   Inner HZ Radius [mas]
# COLUMN hz_outer_mas:   Outer HZ Radius [mas]
# COLUMN hz_center_mas:  Center HZ Radius [mas]
#
StellarName,st_teff,st_rad,st_lum,st_lum_utl,st_dist,hz_inner_au,hz_outer_au,hz_center_au,hz_inner_mas,hz_outer_mas,hz_center_mas
11 Com,4874.0,13.760,95.11000,95.11000,93.18,7.3143,17.2618,9.7524,78.493,185.243,104.657
11 UMi,4213.0,29.790,,252.23398,125.32,11.9114,28.1109,15.8819,95.047,224.311,126.730
14 And,4888.0,11.550,69.17000,69.17000,75.44,6.2376,14.7208,8.3169,82.684,195.135,110.246
14 Her,,,,,17.93,,,,,,
16 Cyg B,5750.0,1.130,,1.25929,21.14,0.8416,1.9863,1.1222,39.813,93.959,53.084
17 Sco,4157.0,25.920,179.62000,179.62000,124.95,10.0517,23.7220,13.4022,80.444,189.847,107.258
18 Del,4980.0,8.800,43.02000,43.02000,76.22,4.9192,11.6094,6.5590,64.538,152.310,86.051
1RXS J160929.1-210524,4060.0,,0.42658,0.42658,139.13,0.4898,1.1560,0.6531,3.521,8.309,4.694
24 Boo,4816.0,12.190,75.32000,75.32000,95.99,6.5090,15.3613,8.6787,67.812,160.037,90.416
24 Sex,5098.0,4.900,14.58814,14.58814,72.07,2.8646,6.7604,3.8194,39.748,93.805,52.997
2MASS J01033563-5515561 A,,,,,,,,,,,
2MASS J01225093-2439505,3530.0,,0.01905,0.01905,33.83,0.1035,0.2443,0.1380,3.060,7.223,4.081
2MASS J02192210-3925225,3064.0,0.281,0.00589,0.00589,,0.0576,0.1358,0.0767,,,
2MASS J04372171+2651014,3100.0,0.840,0.06860,0.06860,128.48,0.1964,0.4636,0.2619,1.529,3.608,2.039
2MASS J04414489+2301513,,,,,,,,,,,
2MASS J12073346-3932539,,,,,64.31,,,,,,
2MASS J19383260+4603591,29564.0,0.203,,28.40152,396.33,3.9970,9.4329,5.3293,10.085,23.800,13.447
2MASS J22362452+4751425,4045.0,,,,69.57,,,,,,
30 Ari B,6331.0,1.410,,2.88154,44.66,1.2731,3.0046,1.6975,28.509,67.282,38.012
4 UMa,4415.0,18.110,,112.42334,73.46,7.9522,18.7673,10.6030,108.252,255.475,144.336
42 Dra,4200.0,22.030,,136.24573,90.65,8.7543,20.6602,11.6724,96.568,227.901,128.757
47 UMa,5872.0,1.213,1.57689,1.57689,13.80,0.9418,2.2227,1.2557,68.263,161.101,91.018
51 Eri,,,7.07946,7.07946,29.76,1.9955,4.7095,2.6607,67.060,158.262,89.414
51 Peg,5758.0,1.176,1.36870,1.36870,15.46,0.8774,2.0708,1.1699,56.750,133.930,75.667
55 Cnc,5172.0,0.943,,0.57406,12.59,0.5682,1.3411,0.7577,45.151,106.556,60.201
6 Lyn,4941.0,4.940,13.14000,13.14000,54.66,2.7187,6.4161,3.6249,49.738,117.382,66.318
61 Vir,5577.0,0.963,0.80353,0.80353,8.50,0.6723,1.5866,0.8964,79.063,186.588,105.417
7 CMa,4826.0,4.870,11.55000,11.55000,19.81,2.5489,6.0154,3.3985,128.667,303.653,171.555
70 Vir,5495.0,1.890,,2.93827,17.90,1.2856,3.0340,1.7141,71.817,169.488,95.756
75 Cet,4809.0,10.380,51.82000,51.82000,82.96,5.3990,12.7415,7.1986,65.078,153.584,86.771
8 UMi,4847.0,10.300,,52.82789,162.55,5.4512,12.8649,7.2683,33.535,79.143,44.714
81 Cet,4734.0,11.210,57.58000,57.58000,101.26,5.6911,13.4310,7.5881,56.203,132.639,74.937
91 Aqr,4665.0,11.000,,51.69978,44.03,5.3927,12.7268,7.1903,122.477,289.045,163.302
AB Aur,9770.0,,59.00000,59.00000,162.13,5.7609,13.5956,7.6811,35.533,83.858,47.377
AB Pic,,,,,50.05,,,,,,
AF Lep,6130.0,1.250,,1.99048,26.86,1.0581,2.4972,1.4108,39.400,92.983,52.533
AU Mic,3678.0,0.744,0.09160,0.09160,9.72,0.2270,0.5357,0.3027,23.348,55.101,31.131
AU Mic,,,,,9.72,,,,,,
BD+03 2562,4095.0,32.350,501.18723,501.18723,1070.63,16.7904,39.6254,22.3872,15.683,37.011,20.910
BD+14 4559,4864.0,0.860,,0.37348,49.35,0.4583,1.0817,0.6111,9.287,21.918,12.383
BD+15 2375,4649.0,8.950,37.15352,37.15352,768.04,4.5715,10.7888,6.0954,5.952,14.047,7.936
BD+15 2940,4796.0,14.700,102.32930,102.32930,426.42,7.5868,17.9050,10.1158,17.792,41.989,23.723
BD+20 2457,4137.0,49.000,1479.10839,1479.10839,1539.71,28.8444,68.0727,38.4592,18.734,44.211,24.978
BD+20 274,4296.0,17.300,91.20108,91.20108,1322.51,7.1624,16.9034,9.5499,5.416,12.781,7.221
BD+20 594,5766.0,1.080,,1.16317,179.46,0.8089,1.9090,1.0785,4.507,10.637,6.010
BD+45 564,5004.0,,,,53.62,,,,,,
BD+48 738,4414.0,11.000,48.97788,48.97788,871.49,5.2488,12.3872,6.9984,6.023,14.214,8.030
BD+48 740,4534.0,10.330,43.65158,43.65158,666.59,4.9552,11.6943,6.6069,7.434,17.543,9.912
BD+49 828,4943.0,7.600,29.51209,29.51209,442.04,4.0744,9.6155,5.4325,9.217,21.753,12.290
BD+55 362,5012.0,,,,52.57,,,,,,
BD+60 1417,4993.0,0.797,2.26960,2.26960,44.95,1.1299,2.6665,1.5065,25.134,59.317,33.512
BD+63 1405,5000.0,,,,38.05,,,,,,
BD-00 4475,5040.0,,,,42.64,,,,,,
BD-06 1339,4324.0,,0.09506,0.09506,20.27,0.2312,0.5457,0.3083,11.408,26.923,15.211
BD-08 2823,4746.0,,,,41.33,,,,,,
BD-08 2823,4816.0,0.710,,0.24466,41.33,0.3710,0.8755,0.4946,8.975,21.181,11.967
BD-10 3166,5393.0,0.910,,0.63198,84.41,0.5962,1.4071,0.7950,7.064,16.670,9.418
BD-11 4672,4550.0,0.639,0.15700,0.15700,27.17,0.2972,0.7013,0.3962,10.939,25.816,14.585
BD-13 2130,4545.0,19.170,,141.47396,925.21,8.9207,21.0529,11.8943,9.642,22.755,12.856
BD-17 63,4714.0,0.690,0.20989,0.20989,34.46,0.3436,0.8109,0.4581,9.971,23.532,13.295
BD-210397,,,,,23.73,,,,,,
BD-210397,4051.0,0.747,0.13500,0.13500,23.73,0.2756,0.6503,0.3674,11.611,27.403,15.482
CD Cet,3130.0,0.175,0.00293,0.00293,8.61,0.0406,0.0959,0.0542,4.720,11.139,6.293
CFBDSIR J145829+101343,580.5,,,,,,,,,,
CFHTWIR-Oph 98 A,2320.0,0.245,0.00141,0.00141,,0.0282,0.0665,0.0376,,,
CHXR 73,,,,,190.37,,,,,,
CI Tau,,,0.78000,0.78000,158.00,0.6624,1.5632,0.8832,4.192,9.894,5.590
COCONUTS-2 A,3406.0,0.388,0.01854,0.01854,10.89,0.1021,0.2410,0.1361,9.379,22.135,12.506
CT Cha,,,,,190.72,,,,,,
CoRoT-1,5950.0,1.110,,1.39319,787.91,0.8853,2.0892,1.1803,1.124,2.652,1.498
CoRoT-10,5075.0,0.790,,0.37350,338.39,0.4584,1.0817,0.6111,1.355,3.197,1.806
CoRoT-11,6440.0,1.370,,2.91260,655.04,1.2800,3.0207,1.7066,1.954,4.612,2.605
CoRoT-12,5675.0,1.116,,1.16544,1126.37,0.8097,1.9108,1.0796,0.719,1.696,0.958
CoRoT-13,5945.0,1.010,,1.14960,1148.93,0.8041,1.8978,1.0722,0.700,1.652,0.933
CoRoT-14,6035.0,1.210,,1.75217,1744.60,0.9928,2.3429,1.3237,0.569,1.343,0.759
CoRoT-16,5650.0,1.190,,1.30192,732.41,0.8558,2.0196,1.1410,1.168,2.757,1.558
CoRoT-17,5740.0,1.590,,2.47593,1176.12,1.1801,2.7851,1.5735,1.003,2.368,1.338
CoRoT-18,5440.0,1.000,,0.79012,764.89,0.6667,1.5733,0.8889,0.872,2.057,1.162
CoRoT-19,6090.0,1.650,3.49945,3.49945,790.66,1.4030,3.3111,1.8707,1.774,4.188,2.366
CoRoT-2,5625.0,0.906,,0.74138,213.28,0.6458,1.5240,0.8610,3.028,7.146,4.037
CoRoT-20,,,,,844.06,,,,,,
CoRoT-21,6200.0,1.950,,5.06912,,1.6886,3.9851,2.2515,,,
CoRoT-22,5939.0,1.136,,1.44846,627.16,0.9026,2.1302,1.2035,1.439,3.397,1.919
CoRoT-23,5900.0,1.610,,2.83372,1060.97,1.2625,2.9796,1.6834,1.190,2.808,1.587
CoRoT-24,4950.0,0.860,,0.40060,591.55,0.4747,1.1203,0.6329,0.802,1.894,1.070
CoRoT-25,6040.0,1.190,,1.70035,1103.48,0.9780,2.3080,1.3040,0.886,2.092,1.182
CoRoT-26,5590.0,1.790,,2.82260,1045.18,1.2600,2.9737,1.6801,1.206,2.845,1.607
CoRoT-27,5900.0,1.080,,1.27512,1010.28,0.8469,1.9987,1.1292,0.838,1.978,1.118
CoRoT-28,5150.0,1.780,,2.01079,766.18,1.0635,2.5099,1.4180,1.388,3.276,1.851
CoRoT-29,5260.0,0.900,,0.55940,806.51,0.5609,1.3238,0.7479,0.696,1.641,0.927
CoRoT-3,6740.0,1.560,,4.53091,768.77,1.5964,3.7676,2.1286,2.077,4.901,2.769
